teamMemberCount,femaleTeamMembersPercent,teamLeadGender,teamDistribution,teamMemberResponseCount,meetingHoursTotal,meetingHoursAverage,meetingHoursStandardDeviation,inPersonMeetingHoursTotal,inPersonMeetingHoursAverage,inPersonMeetingHoursStandardDeviation,nonCodingDeliverablesHoursTotal,nonCodingDeliverablesHoursAverage,nonCodingDeliverablesHoursStandardDeviation,codingDeliverablesHoursTotal,codingHoursAverage,codingDeliverablesHoursStandardDeviation,helpHoursTotal,helpHoursAverage,helpHoursStandardDeviation,averageResponsesByWeek,standardDeviationResponsesByWeek,averageMeetingHoursTotalByWeek,standardDeviationMeetingHoursTotalByWeek,averageMeetingHoursByWeek,standardDeviationMeetingHoursAverageByWeek,averageInPersonMeetingHoursTotalByWeek,standardDeviationInPersonMeetingHoursTotalByWeek,averageInPersonMeetingHoursAverageByWeek,standardDeviationInPersonMeetingHoursAverageByWeek,averageNonCodingDeliverablesHoursTotalByWeek,standardDeviationNonCodingDeliverablesHoursTotalByWeek,averageNonCodingDeliverablesHoursAverageByWeek,standardDeviationNonCodingDeliverablesHoursAverageByWeek,averageCodingDeliverablesHoursTotalByWeek,standardDeviationCodingDeliverablesHoursTotalByWeek,averageCodingDeliverablesHoursAverageByWeek,standardDeviationCodingDeliverablesHoursAverageByWeek,averageHelpHours,standardDeviationHelpHoursTotalByWeek,averageHelpHoursAverageByWeek,standardDeviationHelpHoursAverageByWeek,averageResponsesByStudent,standardDeviationResponsesByStudent,averageMeetingHoursTotalByStudent,standardDeviationMeetingHoursTotalByStudent,averageMeetingHoursAverageByStudent,standardDeviationMeetingHoursAverageByStudent,averageInPersonMeetingHoursTotalByStudent,standardDeviationInPersonMeetingHoursTotalByStudent,averageInPersonMeetingHoursAverageByStudent,standardDeviationInPersonMeetingHoursAverageByStudent,averageNonCodingDeliverablesHoursTotalByStudent,standardDeviationNonCodingDeliverablesHoursTotalByStudent,averageNonCodingDeliverablesHoursAverageByStudent,standardDeviationNonCodingDeliverablesHoursAverageByStudent,averageCodingDeliverablesHoursTotalByStudent,standardDeviationCodingDeliverablesHoursTotalByStudent,averageCodingDeliverablesHoursAverageByStudent,standardDeviationCodingDeliverablesHoursAverageByStudent,averageHelpHoursTotalByStudent,standardDeviationHelpHoursTotalByStudent,averageHelpHoursAverageByStudent,standardDeviationHelpHoursAverageByStudent,commitCount,uniqueCommitMessageCount,uniqueCommitMessagePercent,commitMessageLengthTotal,commitMessageLengthAverage,commitMessageLengthStandardDeviation,averageCommitCountByWeek,standardDeviationCommitCountByWeek,averageUniqueCommitMessageCountByWeek,standardDeviationUniqueCommitMessageCountByWeek,averageUniqueCommitMessagePercentByWeek,standardDeviationUniqueCommitMessagePercentByWeek,averageCommitMessageLengthTotalByWeek,standardDeviationCommitMessageLengthTotalByWeek,averageCommitCountByStudent,standardDeviationCommitCountByStudent,averageUniqueCommitMessageCountByStudent,issueCount,onTimeIssueCount,lateIssueCount,SE Process grade
7,0.143,0,0,29,63.429,2.187,2.1,53.714,1.852,2.007,45.143,1.557,2.339,98,3.379,4.531,38.071,1.313,1.186,7.25,2.046,15.857,6.697,2.481,1.464,13.429,6.72,2.193,1.599,11.286,4.22,1.713,0.752,24.5,14.277,3.58,1.964,9.518,3.794,1.45,0.716,4.143,0.35,9.061,3.221,2.229,0.853,7.673,2.598,1.883,0.691,6.449,6.196,1.577,1.56,14,11.161,3.464,2.82,5.439,1.771,1.324,0.46,119,92,0.773,4106,34.504,26.931,29.75,19.253,23.75,18.061,0.713,0.155,1026.5,818.752,23.8,21.028,18.6,2,2,0,F
7,0.143,0,0,24,58,2.417,1.826,52.857,2.202,1.738,32.429,1.351,1.312,56.571,2.357,2.515,32,1.333,1.513,6,0.707,14.5,8.392,2.364,1.305,13.214,7.754,2.162,1.215,8.107,5.046,1.326,0.813,14.143,6.533,2.32,0.958,8,4.142,1.311,0.628,3.429,0.728,8.286,2.341,2.495,0.771,7.551,1.769,2.262,0.547,4.633,3.186,1.282,0.722,8.082,3.605,2.497,1.278,4.571,2.678,1.469,0.98,128,84,0.656,6976,54.5,45.115,32,17.146,21.5,13.5,0.704,0.229,1744,1654.889,21.333,22.477,14.333,1,0,1,A
6,0.167,0,0,20,48.714,2.436,2.126,46.286,2.314,2.153,12.357,0.618,1.078,58.929,2.946,5.572,8.429,0.421,0.921,5,0.707,12.179,10.311,2.291,1.987,11.571,10.183,2.181,1.991,3.089,1.804,0.577,0.295,14.732,6.841,2.988,1.399,2.107,1.14,0.421,0.223,3.333,0.745,8.119,3.789,2.321,0.893,7.714,3.535,2.22,0.861,2.06,1.312,0.683,0.448,9.821,6.982,2.794,1.756,1.405,1.99,0.413,0.6,91,70,0.769,9518,104.593,171.012,22.75,10.917,17.75,10.353,0.789,0.241,2379.5,1377.101,15.167,10.808,12,1,1,0,A
6,0.167,0,0,20,60.429,3.021,2.205,61.714,3.086,2.475,31.143,1.557,1.867,82.429,4.121,3.708,29.571,1.479,1.64,5,1.581,15.107,6.822,2.989,1.315,15.429,7.548,3.073,1.487,7.786,2.865,1.562,0.331,20.607,9.597,4.364,2.38,7.393,4.547,1.449,0.991,3.333,0.471,10.071,3.079,3.097,1.1,10.286,3.522,3.196,1.322,5.19,2.783,1.597,0.89,13.738,6.331,4.089,1.787,4.929,3.454,1.556,1.199,75,60,0.8,3369,44.92,41.445,18.75,8.526,15.5,7.826,0.82,0.117,842.25,401.517,15,4.29,12,1,0,1,A
6,0.167,0,0,20,23.893,1.195,0.946,18,0.9,0.748,15.5,0.775,0.991,62.714,3.136,3.124,16.143,0.807,0.889,5,1.225,5.973,2.531,1.289,0.608,4.5,1.686,0.987,0.474,3.875,1.288,0.79,0.207,15.679,11.21,3.169,1.951,4.036,1.907,0.854,0.409,3.333,1.106,3.982,2.494,1.186,0.789,3,1.895,0.861,0.57,2.583,1.486,0.728,0.262,10.452,4.645,3.027,0.772,2.69,1.843,0.833,0.614,4,3,0.75,72,18,3.674,2,0,1.5,0.5,0.75,0.25,36,6,4,0,3,1,1,0,A
3,0.333,1,1,8,25.429,3.179,1.053,19.857,2.482,0.5,10.429,1.304,1.111,58.857,7.357,6.143,11.857,1.482,0.781,2,0.707,6.357,3.712,3.077,1.186,4.964,3.121,2.321,0.972,2.607,1.563,1.321,0.704,14.714,12.383,6.196,4.099,2.964,1.589,1.458,0.625,4,0,12.714,1.857,3.179,0.464,9.929,0.929,2.482,0.232,5.214,2.786,1.304,0.696,29.429,19.857,7.357,4.964,5.929,1.5,1.482,0.375,78,52,0.667,2783,35.68,34.712,19.5,10.595,13.5,5.723,0.747,0.151,695.75,381.911,19.5,14.396,13.5,2,1,1,A
4,0,0,1,8,24.071,3.009,1.53,14.286,1.786,1.118,7.679,0.96,0.441,7.386,0.923,1.258,6.857,0.857,1.323,2.667,1.247,8.024,5.187,2.829,0.672,4.762,4.421,1.567,0.874,2.56,1.879,0.81,0.338,2.462,2.548,0.94,0.647,2.286,2.65,0.786,0.614,2.667,0.471,8.024,1.07,3.063,0.405,4.762,0.551,1.81,0.14,2.56,1.027,0.964,0.317,2.462,1.046,0.876,0.271,2.286,1.262,0.984,0.728,79,63,0.798,6507,82.367,142.936,19.75,18.308,16,13.657,0.883,0.093,1626.75,1866.268,15.8,7.808,12.8,2,0,2,F
4,0.25,0,1,7,16.964,2.423,2.301,12.214,1.745,1.663,8.25,1.179,1.876,12.143,1.735,1.979,8.929,1.276,1.432,1.75,0.433,4.241,2.294,2.871,2.079,3.054,1.188,2.152,1.656,2.063,1.9,1.281,1.037,3.036,1.941,1.893,1.162,2.232,1.349,1.366,0.764,2.333,1.247,5.655,4.993,2.143,0.893,4.071,2.88,1.679,0.432,2.75,1.877,1.036,0.744,4.048,1.793,1.905,0.475,2.976,2.964,1.107,0.64,166,78,0.47,2823,17.006,16.183,41.5,11.281,20.5,8.047,0.477,0.095,705.75,219.782,41.5,39.984,19.5,1,1,0,F
4,0,0,1,10,45.286,4.529,1.758,30.143,3.014,1.814,26.429,2.643,2.458,55.714,5.571,4.833,11.857,1.186,1.356,2.5,0.5,11.321,7.342,4.393,2.189,7.536,5.529,2.917,1.699,6.607,2.982,2.72,1.106,13.929,7.724,5.506,2.611,2.964,1.759,1.143,0.505,3.333,0.471,15.095,1.634,4.556,0.317,10.048,1.592,3.079,0.698,8.81,2.459,2.599,0.387,18.571,9.018,5.385,2.176,3.952,2.795,1.151,0.834,52,42,0.808,3142,60.423,75.395,13,4.637,10.5,2.958,0.862,0.197,785.5,269.179,10.4,8.639,8.4,1,0,1,F
7,0.143,0,0,15,25.571,1.705,0.632,23.286,1.552,0.4,10,0.667,2.417,22.714,1.514,1.652,9.357,0.624,0.767,5,2.16,8.524,3.109,2.153,1.096,7.762,3.607,1.806,0.743,3.333,1.327,0.737,0.214,7.571,2.044,1.756,0.574,3.119,0.825,0.777,0.363,2.5,0.5,4.262,1.905,1.663,0.494,3.881,1.162,1.536,0.229,1.667,1.392,0.73,0.68,3.786,2.03,1.417,0.569,1.56,0.835,0.647,0.334,160,152,0.95,12669,79.181,65.088,40,25.739,38,27.395,0.905,0.165,3167.25,2138.224,32,22.352,30.4,1,1,0,A
5,0.2,0,0,14,17,1.214,1.069,14.714,1.051,0.972,10.714,0.765,0.901,16.571,1.184,1.28,4.643,0.332,0.55,4.667,0.943,5.667,2.369,1.313,0.687,4.905,2.896,1.147,0.786,3.571,1.166,0.833,0.367,5.524,1.751,1.262,0.542,1.548,0.496,0.363,0.157,2.8,0.748,3.4,2.158,1.164,0.645,2.943,1.527,1.021,0.433,2.143,1.94,0.66,0.608,3.314,1.071,1.283,0.647,0.929,1.155,0.265,0.325,45,24,0.533,8179,181.756,337.85,15,11.576,8.333,4.19,0.717,0.224,2726.333,1059.57,11.25,6.418,6.25,2,2,0,A
5,0.2,1,0,11,10.5,0.955,0.907,12.786,1.162,0.94,14.143,1.286,1.164,11.429,1.039,2.012,5.286,0.481,0.668,3.667,1.886,3.5,1.394,1.233,0.571,4.262,2.804,1.386,0.633,4.714,2.33,2.01,1.479,3.81,1.327,1.295,0.503,1.762,0.794,0.619,0.294,2.2,0.4,2.1,0.885,0.926,0.239,2.557,1.105,1.155,0.473,2.829,2.343,1.167,0.692,2.286,1.132,1.019,0.453,1.057,0.583,0.471,0.246,63,57,0.905,2592,41.143,51.301,15.75,16.3,15,15.508,0.969,0.033,648,789.877,15.75,19.98,14.5,2,2,0,F
5,0.6,1,0,13,13.714,1.055,0.877,13.857,1.066,0.997,13.143,1.011,1.206,15.429,1.187,1.367,6.071,0.467,0.369,3.25,1.92,3.429,2.1,1.024,0.757,3.464,2.295,1.045,0.798,3.286,2.288,0.932,0.66,3.857,1.86,1.426,0.911,1.518,0.408,0.631,0.28,2.6,0.8,2.743,1.028,1.043,0.21,2.771,1.056,1.086,0.408,2.629,0.643,1.086,0.298,3.086,2.093,1.1,0.565,1.214,0.96,0.414,0.21,81,70,0.864,3265,40.309,28.264,20.25,10.109,17.5,6.576,0.915,0.102,816.25,248.699,16.2,10.4,14,2,2,0,A
5,0.2,1,0,10,7.857,0.786,0.64,6.571,0.657,0.663,3.929,0.393,0.95,4.643,0.464,2.095,2.5,0.25,0.632,5,0,3.929,1.071,0.786,0.214,3.286,1,0.657,0.2,1.964,0.536,0.393,0.107,2.321,1.25,0.464,0.25,1.25,0.536,0.25,0.107,2,0,1.571,0.487,0.786,0.243,1.314,0.648,0.657,0.324,0.786,0.503,0.393,0.252,0.929,0.843,0.464,0.421,0.5,0.636,0.25,0.318,165,153,0.927,10510,63.697,46.516,41.25,30.12,38.5,30.352,0.87,0.148,2627.5,2416.835,33,25.714,30.6,1,1,0,A
5,0,0,0,13,36.286,2.791,2.176,33.286,2.56,1.227,20.071,1.544,1.936,29.643,2.28,2.686,13.5,1.038,1.635,4.333,0.471,12.095,3.541,2.9,1.05,11.095,3.691,2.671,1.061,6.69,2.798,1.608,0.767,9.881,3.033,2.323,0.833,4.5,1.642,1.063,0.448,2.6,0.49,7.257,3.12,2.769,0.904,6.657,1.869,2.569,0.514,4.014,2.577,1.44,0.785,5.929,1.656,2.288,0.649,2.7,1.236,1.114,0.68,129,116,0.899,5484,42.512,38.394,32.25,6.869,29.25,7.155,0.905,0.094,1371,451.963,25.8,23.155,23.2,2,2,0,F
6,0,0,0,10,15.571,1.557,0.814,15.429,1.543,0.9,6.071,0.607,1.266,14.286,1.429,1.814,5,0.5,0.539,3.333,1.7,5.19,2.898,1.993,0.984,5.143,2.93,1.983,0.997,2.024,1.942,0.482,0.494,4.762,0.883,2.09,1.351,1.667,0.844,0.648,0.318,2.5,0.5,3.893,1.311,1.548,0.323,3.857,1.325,1.536,0.339,1.518,0.117,0.637,0.157,3.571,1.474,1.411,0.506,1.25,0.665,0.47,0.198,71,63,0.887,3288,46.31,34.562,17.75,5.262,15.75,4.206,0.903,0.099,822,390.165,14.2,6.735,12.6,2,2,0,F
4,0.25,1,0,7,20.286,2.898,4.14,11.714,1.673,0.881,6.571,0.939,1.761,20.571,2.939,3.417,5.286,0.755,0.495,3.5,0.5,10.143,7,2.667,1.619,5.857,2.714,1.595,0.548,3.286,2.429,0.857,0.571,10.286,5.429,2.774,1.155,2.643,0.929,0.732,0.161,1.75,0.829,5.071,3.322,3.982,3.899,2.929,0.939,1.839,0.615,1.643,1.686,0.97,0.899,5.143,1.6,4.065,2.481,1.321,0.758,0.732,0.078,104,71,0.683,5968,57.385,70.718,26,20.928,17.75,14.007,0.711,0.137,1492,1271.226,20.8,21.794,14.2,3,3,0,F
5,0.6,1,0,10,7.857,0.786,0.472,7.143,0.714,0.65,4.429,0.443,1.136,14.357,1.436,3.86,4.786,0.479,0.472,5,0,3.929,1.786,0.786,0.357,3.571,1.429,0.714,0.286,2.214,0.071,0.443,0.014,7.179,1.464,1.436,0.293,2.393,1.25,0.479,0.25,2,0.632,1.571,0.495,0.852,0.336,1.429,0.404,0.829,0.388,0.886,0.538,0.486,0.298,2.871,2.639,1.345,1.189,0.957,0.403,0.583,0.446,153,132,0.863,5345,34.935,21.616,38.25,2.487,33.75,2.278,0.887,0.087,1336.25,217.656,38.25,35.294,33.5,1,1,0,A
6,0.5,1,0,36,122.571,3.405,1.738,99.857,2.774,1.359,36.771,1.021,1.449,168.271,4.674,4.848,27.086,0.752,1.005,6,0,20.429,6.318,3.405,1.053,16.643,5.198,2.774,0.866,6.129,2.457,1.021,0.409,28.045,18.04,4.674,3.007,4.514,1.87,0.752,0.312,6,0,20.429,7.444,3.405,1.241,16.643,2.145,2.774,0.358,6.129,4.802,1.021,0.8,28.045,11.975,4.674,1.996,4.514,4.548,0.752,0.758,253,202,0.798,15139,59.838,53.63,50.6,44.885,40.4,37.58,0.871,0.181,3027.8,2245.59,42.167,45.212,33.667,4,4,0,A
5,0.4,0,0,22,38.643,1.756,1.233,35.786,1.627,1.311,9.929,0.451,0.802,85.5,3.886,6.912,13.143,0.597,1.316,3.667,0.943,6.44,2.753,1.756,0.696,5.964,2.738,1.61,0.746,1.655,0.464,0.505,0.251,14.25,14.781,3.719,3.745,2.19,2.529,0.609,0.626,5.5,0.5,9.661,3.413,1.784,0.725,8.946,2.262,1.641,0.471,2.482,1.209,0.461,0.238,21.375,23.02,4.104,4.689,3.286,3.91,0.633,0.794,75,69,0.92,7197,95.96,84.481,15,13.401,13.8,12.496,0.858,0.186,1439.4,1341.841,15,14.859,13.8,4,3,1,F
5,0,0,0,29,111.286,3.837,3.108,94.571,3.261,2.061,51.214,1.766,2.095,124.214,4.283,4.876,60.571,2.089,1.71,4.833,1.067,18.548,8.822,3.631,1.336,15.762,8.159,3.071,1.37,8.536,4.904,1.727,0.743,20.702,16.746,3.952,3.131,10.095,5.019,1.996,0.851,5.8,0.748,22.257,7.981,4.071,1.909,18.914,4.667,3.405,1.215,10.243,6.901,1.793,1.315,24.843,13.503,4.585,2.939,12.114,6.559,2.184,1.277,612,530,0.866,21925,35.825,20.621,76.5,78.16,66.375,69.518,0.844,0.219,2740.625,2808.4,122.4,90.78,106,3,3,0,A
5,0.2,0,0,29,94.286,3.251,1.099,91.429,3.153,1.22,59.429,2.049,1.917,207.5,7.155,5.008,56.571,1.951,1.337,4.833,0.373,15.714,5.203,3.235,0.976,15.238,5.761,3.123,1.081,9.905,4.649,2.031,0.894,34.583,18.562,7.192,3.74,9.429,3.445,1.969,0.727,5.8,0.4,18.857,1.334,3.281,0.46,18.286,1.683,3.186,0.516,11.886,6.208,2.013,0.999,41.5,10.095,7.186,1.739,11.314,3.951,1.959,0.669,143,123,0.86,8772,61.343,64.988,23.833,14.747,20.833,12.171,0.92,0.099,1462,834.38,28.6,13.094,24.6,3,2,1,F
7,0,0,0,5,11,2.2,0.4,11,2.2,0.4,4,0.8,0.748,35,7,6.633,8.5,1.7,1.778,5,0,11,0,2.2,0,11,0,2.2,0,4,0,0.8,0,35,0,7,0,8.5,0,1.7,0,1,0,2.2,0.4,2.2,0.4,2.2,0.4,2.2,0.4,0.8,0.748,0.8,0.748,7,6.633,7,6.633,1.7,1.778,1.7,1.778,74,37,0.5,2253,30.446,47.427,37,29,19,11,0.727,0.273,1126.5,548.5,10.571,16.775,5.714,0,0,0,F
7,0.286,0,0,7,17.5,2.5,0.886,8,1.143,0.639,10.5,1.5,1.439,31.5,4.5,6.519,4.5,0.643,0.44,7,0,17.5,0,2.5,0,8,0,1.143,0,10.5,0,1.5,0,31.5,0,4.5,0,4.5,0,0.643,0,1,0,2.5,0.886,2.5,0.886,1.143,0.639,1.143,0.639,1.5,1.439,1.5,1.439,4.5,6.519,4.5,6.519,0.643,0.44,0.643,0.44,52,44,0.846,1574,30.269,33.538,17.333,4.11,14.667,3.3,0.85,0.071,524.667,114.846,10.4,8.663,8.8,0,0,0,A
6,0,0,0,6,12.5,2.083,0.186,11,1.833,0.373,15.5,2.583,2.54,31,5.167,2.115,4,0.667,0.799,6,0,12.5,0,2.083,0,11,0,1.833,0,15.5,0,2.583,0,31,0,5.167,0,4,0,0.667,0,1,0,2.083,0.186,2.083,0.186,1.833,0.373,1.833,0.373,2.583,2.54,2.583,2.54,5.167,2.115,5.167,2.115,0.667,0.799,0.667,0.799,81,66,0.815,4078,50.346,57.986,27,15.642,22,10.985,0.847,0.109,1359.333,790.827,16.2,8.681,13.4,0,0,0,A
6,0,0,0,6,16,2.667,0.373,6.5,1.083,0.607,5.5,0.917,0.449,11.5,1.917,1.592,3,0.5,0.5,6,0,16,0,2.667,0,6.5,0,1.083,0,5.5,0,0.917,0,11.5,0,1.917,0,3,0,0.5,0,1,0,2.667,0.373,2.667,0.373,1.083,0.607,1.083,0.607,0.917,0.449,0.917,0.449,1.917,1.592,1.917,1.592,0.5,0.5,0.5,0.5,150,143,0.953,9118,60.787,46.466,50,9.274,47.667,7.587,0.959,0.03,3039.333,597.11,25,25.489,24.167,0,0,0,A
6,0,0,0,5,18,3.6,1.356,23,4.6,1.625,8,1.6,0.49,35,7,3.847,10,2,1.897,5,0,18,0,3.6,0,23,0,4.6,0,8,0,1.6,0,35,0,7,0,10,0,2,0,1,0,3.6,1.356,3.6,1.356,4.6,1.625,4.6,1.625,1.6,0.49,1.6,0.49,7,3.847,7,3.847,2,1.897,2,1.897,41,40,0.976,858,20.927,9.434,20.5,13.5,20,13,0.985,0.015,429,262,8.2,11.479,8,0,0,0,F
6,0.167,0,0,5,20,4,3.098,8,1.6,0.8,8,1.6,1.356,11,2.2,2.993,4,0.8,0.748,2.5,1.5,10,7,3.625,0.625,4,2,1.75,0.25,4,4,1,1,5.5,3.5,2.125,0.125,2,0,1.25,0.75,1,0,4,3.098,4,3.098,1.6,0.8,1.6,0.8,1.6,1.356,1.6,1.356,2.2,2.993,2.2,2.993,0.8,0.748,0.8,0.748,130,118,0.908,7380,56.769,40.304,43.333,16.76,39.333,17.461,0.902,0.118,2460,1326.338,26,20.543,23.8,0,0,0,A
3,0,0,1,3,8,2.667,0.471,7,2.333,0.943,3,1,0,10,3.333,2.055,0.25,0.083,0.118,3,0,8,0,2.667,0,7,0,2.333,0,3,0,1,0,10,0,3.333,0,0.25,0,0.083,0,1,0,2.667,0.471,2.667,0.471,2.333,0.943,2.333,0.943,1,0,1,0,3.333,2.055,3.333,2.055,0.083,0.118,0.083,0.118,54,46,0.852,3511,65.019,58.191,18,15.578,15.667,12.284,0.942,0.082,1170.333,383.799,10.8,6.145,9.2,0,0,0,F
7,0.143,0,0,26,93.714,3.604,2.183,86,3.308,2.522,30.429,1.17,1.481,121.286,4.665,5.978,16.714,0.643,0.639,6.5,0.866,23.429,14.624,3.453,1.978,21.5,15.114,3.153,2.077,7.607,4.513,1.148,0.607,30.321,20.129,4.446,2.753,4.179,2.909,0.617,0.397,3.714,0.7,13.388,3.534,3.704,0.97,12.286,3.029,3.429,0.965,4.347,3.608,1.23,0.955,17.327,14.484,4.51,3.493,2.388,1.247,0.668,0.338,278,161,0.579,16140,58.058,55.823,69.5,46.955,41.5,20.205,0.662,0.214,4035,2124.722,39.714,16.533,23.429,0,0,0,A
5,0.4,0,0,21,16.607,0.791,0.701,15.036,0.716,0.659,27,1.286,1.613,37.571,1.789,4.704,9.286,0.442,0.645,7,3.266,5.536,2.422,0.906,0.384,5.012,2.774,0.768,0.277,9,6.77,1.218,0.439,12.524,1.133,2.265,1.042,3.095,1.352,0.483,0.14,4.2,1.166,3.321,0.84,0.825,0.197,3.007,1.02,0.72,0.131,5.4,1.753,1.292,0.337,7.514,5.492,1.869,1.122,1.857,0.893,0.483,0.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,F
6,0.167,0,0,23,22.714,0.988,1.748,15.357,0.668,1.009,26.429,1.149,2.232,20.571,0.894,3.031,13.179,0.573,1.416,7.667,4.784,7.571,5.078,1.13,0.316,5.119,3.583,0.906,0.458,8.81,5.137,2.292,1.943,6.857,2.021,1.84,1.529,4.393,2.031,1.001,0.71,3.833,0.687,3.786,1.864,0.991,0.448,2.56,1.187,0.65,0.267,4.405,3.852,1.112,0.951,3.429,2.457,0.937,0.676,2.196,2.132,0.569,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,A
6,0.167,1,0,23,28.286,1.23,1.06,22.714,0.988,0.966,29,1.261,0.943,17.857,0.776,2.179,11.5,0.5,0.786,7.667,4.19,9.429,8.006,1.245,0.529,7.571,7.282,0.935,0.48,9.667,7.409,1.278,0.437,5.952,3.876,0.944,0.457,3.833,2.593,0.616,0.318,3.833,1.462,4.714,2.476,1.356,0.575,3.786,1.994,1.132,0.568,4.833,2.289,1.266,0.288,2.976,2.513,1.374,1.99,1.917,1.963,0.428,0.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,A
6,0.167,0,0,26,37.786,1.453,1.824,32.357,1.245,1.162,32.143,1.236,1.755,60.286,2.319,3.944,15.643,0.602,0.76,8.667,5.793,12.595,10.686,1.262,0.37,10.786,10.381,0.951,0.512,10.714,11.354,0.778,0.734,20.095,16.259,2.149,0.452,5.214,5.309,0.383,0.344,4.333,0.943,6.298,1.492,1.493,0.32,5.393,2.483,1.204,0.436,5.357,4.331,1.17,0.857,10.048,6.131,2.248,1.098,2.607,1.31,0.606,0.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,A
6,0.167,0,0,24,32.964,1.374,0.772,34.036,1.418,0.751,24.357,1.015,1.085,17.071,0.711,1.484,5.429,0.226,0.624,8,3.559,10.988,5.241,1.588,0.646,11.345,5.746,1.62,0.652,8.119,4.666,1.079,0.359,5.69,1.703,1.093,0.885,1.81,0.943,0.328,0.253,4,0.577,5.494,2.28,1.333,0.369,5.673,2.119,1.392,0.342,4.06,2.19,0.964,0.43,2.845,3.493,0.675,0.846,0.905,1.404,0.219,0.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,F
5,0.2,0,0,21,36,1.714,1.214,21.857,1.041,0.69,31.714,1.51,1.755,48.429,2.306,5.049,11,0.524,0.816,7,3.559,12,5.657,2.341,1.309,7.286,4.126,1.176,0.408,10.571,5.152,2.057,1.15,16.143,9.744,2.251,0.613,3.667,2.572,0.526,0.208,4.2,0.4,7.2,1.638,1.723,0.414,4.371,0.831,1.041,0.184,6.343,3.27,1.549,0.85,9.686,10.972,2.121,2.199,2.2,1.444,0.537,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
3,0,0,1,18,30.714,1.706,0.833,30.143,1.675,0.687,31.714,1.762,0.737,108,6,8.702,13.857,0.77,0.687,3,0,5.119,1.946,1.706,0.649,5.024,1.965,1.675,0.655,5.286,2.054,1.762,0.685,18,12.583,6,4.194,2.31,1.135,0.77,0.378,6,0,10.238,1.896,1.706,0.316,10.048,1.406,1.675,0.234,10.571,2.359,1.762,0.393,36,32.831,6,5.472,4.619,2.756,0.77,0.459,348,258,0.741,17057,49.014,37.968,69.6,22.321,53.4,14.165,0.789,0.102,3411.4,991.996,87,124.167,64.5,4,4,0,F
3,0,0,1,13,33.429,2.571,1.496,21.429,1.648,1.264,12.957,0.997,0.887,36.286,2.791,1.94,9.1,0.7,0.564,2.167,0.687,5.571,2.856,2.349,0.924,3.571,1.943,1.488,0.524,2.16,1.202,0.968,0.333,6.048,3.769,2.603,1.357,1.517,1.205,0.592,0.414,4.333,1.7,11.143,3.591,3.146,1.536,7.143,3.909,2.102,1.281,4.319,4.029,0.953,0.747,12.095,4.2,3.427,1.917,3.033,1.391,0.794,0.327,107,85,0.794,4305,40.234,46.01,17.833,13.334,14.333,10.827,0.872,0.144,717.5,675.873,21.4,10.613,17.2,5,2,3,A
3,0,0,1,17,90.857,5.345,2.298,73.857,4.345,2.14,46,2.706,1.434,48.929,2.878,2.858,45.357,2.668,2.267,2.833,0.687,15.143,7.014,5.478,2.313,12.31,6.347,4.534,2.186,7.667,2.809,2.75,0.804,8.155,7.337,2.975,2.417,7.56,4.604,2.652,1.458,5.667,0.471,30.286,1.742,5.411,0.802,24.619,3.074,4.33,0.22,15.333,4.581,2.76,0.937,16.31,5.263,2.883,0.862,15.119,9.381,2.658,1.536,104,85,0.817,8209,78.933,113.169,17.333,11.07,14.833,9.957,0.842,0.162,1368.167,776.48,17.333,9.232,14.833,4,4,0,A
3,0.333,0,1,16,86,5.375,8.652,46.143,2.884,3.381,36.571,2.286,2.077,83.714,5.232,9.219,36.857,2.304,3.551,2.667,0.943,14.333,13.573,4.486,3.2,7.69,7.208,2.536,1.637,6.095,3.244,2.115,0.619,13.952,13.322,4.581,3.412,6.143,6.627,1.909,1.536,5.333,1.247,28.667,26.674,6.697,7.006,15.381,8.723,3.359,2.531,12.19,3.908,2.58,1.306,27.905,29.278,6.575,7.599,12.286,9.166,2.792,2.493,38,23,0.605,1724,45.368,51.458,6.333,2.925,4.667,1.886,0.793,0.188,287.333,347.838,6.333,2.809,4,5,3,2,F
6,0.167,0,0,23,47.643,2.071,2.807,40.929,1.78,2.224,37.143,1.615,1.793,93.571,4.068,9.548,32.429,1.41,3.808,5.75,0.433,11.911,2.565,2.076,0.419,10.232,3.794,1.774,0.608,9.286,4.129,1.567,0.656,23.393,20.739,4.132,3.531,8.107,4.297,1.418,0.724,3.833,0.373,7.94,3.555,2.032,0.833,6.821,3.008,1.734,0.708,6.19,3.743,1.649,0.991,15.595,9.952,3.913,2.468,5.405,6.472,1.379,1.605,118,66,0.559,3236,27.424,28.553,29.5,40.801,17,24.87,0.533,0.227,809,1268.356,23.6,17.258,13.8,1,1,0,F
