teamMemberCount,femaleTeamMembersPercent,teamLeadGender,teamDistribution,teamMemberResponseCount,meetingHoursTotal,meetingHoursAverage,meetingHoursStandardDeviation,inPersonMeetingHoursTotal,inPersonMeetingHoursAverage,inPersonMeetingHoursStandardDeviation,nonCodingDeliverablesHoursTotal,nonCodingDeliverablesHoursAverage,nonCodingDeliverablesHoursStandardDeviation,codingDeliverablesHoursTotal,codingDeliverablesHoursAverage,codingDeliverablesHoursStandardDeviation,helpHoursTotal,helpHoursAverage,helpHoursStandardDeviation,averageResponsesByWeek,standardDeviationResponsesByWeek,averageMeetingHoursTotalByWeek,standardDeviationMeetingHoursTotalByWeek,averageMeetingHoursByWeek,standardDeviationMeetingHoursAverageByWeek,averageInPersonMeetingHoursTotalByWeek,standardDeviationInPersonMeetingHoursTotalByWeek,averageInPersonMeetingHoursAverageByWeek,standardDeviationInPersonMeetingHoursAverageByWeek,averageNonCodingDeliverablesHoursTotalByWeek,standardDeviationNonCodingDeliverablesHoursTotalByWeek,averageNonCodingDeliverablesHoursAverageByWeek,standardDeviationNonCodingDeliverablesHoursAverageByWeek,averageCodingDeliverablesHoursTotalByWeek,standardDeviationCodingDeliverablesHoursTotalByWeek,averageCodingDeliverablesHoursAverageByWeek,standardDeviationCodingDeliverablesHoursAverageByWeek,averageHelpHoursTotalByWeek,standardDeviationHelpHoursTotalByWeek,averageHelpHoursAverageByWeek,standardDeviationHelpHoursAverageByWeek,averageResponsesByStudent,standardDeviationResponsesByStudent,averageMeetingHoursTotalByStudent,standardDeviationMeetingHoursTotalByStudent,averageMeetingHoursAverageByStudent,standardDeviationMeetingHoursAverageByStudent,averageInPersonMeetingHoursTotalByStudent,standardDeviationInPersonMeetingHoursTotalByStudent,averageInPersonMeetingHoursAverageByStudent,standardDeviationInPersonMeetingHoursAverageByStudent,averageNonCodingDeliverablesHoursTotalByStudent,standardDeviationNonCodingDeliverablesHoursTotalByStudent,averageNonCodingDeliverablesHoursAverageByStudent,standardDeviationNonCodingDeliverablesHoursAverageByStudent,averageCodingDeliverablesHoursTotalByStudent,standardDeviationCodingDeliverablesHoursTotalByStudent,averageCodingDeliverablesHoursAverageByStudent,standardDeviationCodingDeliverablesHoursAverageByStudent,averageHelpHoursTotalByStudent,standardDeviationHelpHoursTotalByStudent,averageHelpHoursAverageByStudent,standardDeviationHelpHoursAverageByStudent,commitCount,uniqueCommitMessageCount,uniqueCommitMessagePercent,commitMessageLengthTotal,commitMessageLengthAverage,commitMessageLengthStandardDeviation,averageCommitCountByWeek,standardDeviationCommitCountByWeek,averageUniqueCommitMessageCountByWeek,standardDeviationUniqueCommitMessageCountByWeek,averageUniqueCommitMessagePercentByWeek,standardDeviationUniqueCommitMessagePercentByWeek,averageCommitMessageLengthTotalByWeek,standardDeviationCommitMessageLengthTotalByWeek,averageCommitCountByStudent,standardDeviationCommitCountByStudent,averageUniqueCommitMessageCountByStudent,issueCount,onTimeIssueCount,lateIssueCount,SE Process grade
5.000,0.400,0.000,0.000,22.000,38.643,1.756,1.233,35.786,1.627,1.311,9.929,0.451,0.802,85.500,3.886,6.912,13.143,0.597,1.316,3.667,0.943,6.440,2.753,1.756,0.696,5.964,2.738,1.610,0.746,1.655,0.464,0.505,0.251,14.250,14.781,3.719,3.745,2.190,2.529,0.609,0.626,5.500,0.500,9.661,3.413,1.784,0.725,8.946,2.262,1.641,0.471,2.482,1.209,0.461,0.238,21.375,23.020,4.104,4.689,3.286,3.910,0.633,0.794,75.000,69.000,0.920,7197.000,95.960,84.481,15.000,13.401,13.800,12.496,0.858,0.186,1439.400,1341.841,15.000,14.859,13.800,4.000,3.000,1.000,F
5.000,0.000,0.000,0.000,29.000,111.286,3.837,3.108,94.571,3.261,2.061,51.214,1.766,2.095,124.214,4.283,4.876,60.571,2.089,1.710,4.833,1.067,18.548,8.822,3.631,1.336,15.762,8.159,3.071,1.370,8.536,4.904,1.727,0.743,20.702,16.746,3.952,3.131,10.095,5.019,1.996,0.851,5.800,0.748,22.257,7.981,4.071,1.909,18.914,4.667,3.405,1.215,10.243,6.901,1.793,1.315,24.843,13.503,4.585,2.939,12.114,6.559,2.184,1.277,612.000,530.000,0.866,21925.000,35.825,20.621,76.500,78.160,66.375,69.518,0.844,0.219,2740.625,2808.400,122.400,90.780,106.000,3.000,3.000,0.000,A
5.000,0.200,0.000,0.000,29.000,94.286,3.251,1.099,91.429,3.153,1.220,59.429,2.049,1.917,207.500,7.155,5.008,56.571,1.951,1.337,4.833,0.373,15.714,5.203,3.235,0.976,15.238,5.761,3.123,1.081,9.905,4.649,2.031,0.894,34.583,18.562,7.192,3.740,9.429,3.445,1.969,0.727,5.800,0.400,18.857,1.334,3.281,0.460,18.286,1.683,3.186,0.516,11.886,6.208,2.013,0.999,41.500,10.095,7.186,1.739,11.314,3.951,1.959,0.669,143.000,123.000,0.860,8772.000,61.343,64.988,23.833,14.747,20.833,12.171,0.920,0.099,1462.000,834.380,28.600,13.094,24.600,3.000,2.000,1.000,F
7.000,0.000,0.000,0.000,5.000,11.000,2.200,0.400,11.000,2.200,0.400,4.000,0.800,0.748,35.000,7.000,6.633,8.500,1.700,1.778,5.000,0.000,11.000,0.000,2.200,0.000,11.000,0.000,2.200,0.000,4.000,0.000,0.800,0.000,35.000,0.000,7.000,0.000,8.500,0.000,1.700,0.000,1.000,0.000,2.200,0.400,2.200,0.400,2.200,0.400,2.200,0.400,0.800,0.748,0.800,0.748,7.000,6.633,7.000,6.633,1.700,1.778,1.700,1.778,74.000,37.000,0.500,2253.000,30.446,47.427,37.000,29.000,19.000,11.000,0.727,0.273,1126.500,548.500,10.571,16.775,5.714,0.000,0.000,0.000,F
7.000,0.286,0.000,0.000,7.000,17.500,2.500,0.886,8.000,1.143,0.639,10.500,1.500,1.439,31.500,4.500,6.519,4.500,0.643,0.440,7.000,0.000,17.500,0.000,2.500,0.000,8.000,0.000,1.143,0.000,10.500,0.000,1.500,0.000,31.500,0.000,4.500,0.000,4.500,0.000,0.643,0.000,1.000,0.000,2.500,0.886,2.500,0.886,1.143,0.639,1.143,0.639,1.500,1.439,1.500,1.439,4.500,6.519,4.500,6.519,0.643,0.440,0.643,0.440,52.000,44.000,0.846,1574.000,30.269,33.538,17.333,4.110,14.667,3.300,0.850,0.071,524.667,114.846,10.400,8.663,8.800,0.000,0.000,0.000,A
6.000,0.000,0.000,0.000,6.000,12.500,2.083,0.186,11.000,1.833,0.373,15.500,2.583,2.540,31.000,5.167,2.115,4.000,0.667,0.799,6.000,0.000,12.500,0.000,2.083,0.000,11.000,0.000,1.833,0.000,15.500,0.000,2.583,0.000,31.000,0.000,5.167,0.000,4.000,0.000,0.667,0.000,1.000,0.000,2.083,0.186,2.083,0.186,1.833,0.373,1.833,0.373,2.583,2.540,2.583,2.540,5.167,2.115,5.167,2.115,0.667,0.799,0.667,0.799,81.000,66.000,0.815,4078.000,50.346,57.986,27.000,15.642,22.000,10.985,0.847,0.109,1359.333,790.827,16.200,8.681,13.400,0.000,0.000,0.000,A
6.000,0.000,0.000,0.000,6.000,16.000,2.667,0.373,6.500,1.083,0.607,5.500,0.917,0.449,11.500,1.917,1.592,3.000,0.500,0.500,6.000,0.000,16.000,0.000,2.667,0.000,6.500,0.000,1.083,0.000,5.500,0.000,0.917,0.000,11.500,0.000,1.917,0.000,3.000,0.000,0.500,0.000,1.000,0.000,2.667,0.373,2.667,0.373,1.083,0.607,1.083,0.607,0.917,0.449,0.917,0.449,1.917,1.592,1.917,1.592,0.500,0.500,0.500,0.500,150.000,143.000,0.953,9118.000,60.787,46.466,50.000,9.274,47.667,7.587,0.959,0.030,3039.333,597.110,25.000,25.489,24.167,0.000,0.000,0.000,A
6.000,0.000,0.000,0.000,5.000,18.000,3.600,1.356,23.000,4.600,1.625,8.000,1.600,0.490,35.000,7.000,3.847,10.000,2.000,1.897,5.000,0.000,18.000,0.000,3.600,0.000,23.000,0.000,4.600,0.000,8.000,0.000,1.600,0.000,35.000,0.000,7.000,0.000,10.000,0.000,2.000,0.000,1.000,0.000,3.600,1.356,3.600,1.356,4.600,1.625,4.600,1.625,1.600,0.490,1.600,0.490,7.000,3.847,7.000,3.847,2.000,1.897,2.000,1.897,41.000,40.000,0.976,858.000,20.927,9.434,20.500,13.500,20.000,13.000,0.985,0.015,429.000,262.000,8.200,11.479,8.000,0.000,0.000,0.000,F
6.000,0.167,0.000,0.000,5.000,20.000,4.000,3.098,8.000,1.600,0.800,8.000,1.600,1.356,11.000,2.200,2.993,4.000,0.800,0.748,2.500,1.500,10.000,7.000,3.625,0.625,4.000,2.000,1.750,0.250,4.000,4.000,1.000,1.000,5.500,3.500,2.125,0.125,2.000,0.000,1.250,0.750,1.000,0.000,4.000,3.098,4.000,3.098,1.600,0.800,1.600,0.800,1.600,1.356,1.600,1.356,2.200,2.993,2.200,2.993,0.800,0.748,0.800,0.748,130.000,118.000,0.908,7380.000,56.769,40.304,43.333,16.760,39.333,17.461,0.902,0.118,2460.000,1326.338,26.000,20.543,23.800,0.000,0.000,0.000,A
3.000,0.000,0.000,1.000,3.000,8.000,2.667,0.471,7.000,2.333,0.943,3.000,1.000,0.000,10.000,3.333,2.055,0.250,0.083,0.118,3.000,0.000,8.000,0.000,2.667,0.000,7.000,0.000,2.333,0.000,3.000,0.000,1.000,0.000,10.000,0.000,3.333,0.000,0.250,0.000,0.083,0.000,1.000,0.000,2.667,0.471,2.667,0.471,2.333,0.943,2.333,0.943,1.000,0.000,1.000,0.000,3.333,2.055,3.333,2.055,0.083,0.118,0.083,0.118,54.000,46.000,0.852,3511.000,65.019,58.191,18.000,15.578,15.667,12.284,0.942,0.082,1170.333,383.799,10.800,6.145,9.200,0.000,0.000,0.000,F
7.000,0.143,0.000,0.000,26.000,93.714,3.604,2.183,86.000,3.308,2.522,30.429,1.170,1.481,121.286,4.665,5.978,16.714,0.643,0.639,6.500,0.866,23.429,14.624,3.453,1.978,21.500,15.114,3.153,2.077,7.607,4.513,1.148,0.607,30.321,20.129,4.446,2.753,4.179,2.909,0.617,0.397,3.714,0.700,13.388,3.534,3.704,0.970,12.286,3.029,3.429,0.965,4.347,3.608,1.230,0.955,17.327,14.484,4.510,3.493,2.388,1.247,0.668,0.338,278.000,161.000,0.579,16140.000,58.058,55.823,69.500,46.955,41.500,20.205,0.662,0.214,4035.000,2124.722,39.714,16.533,23.429,0.000,0.000,0.000,A
5.000,0.400,0.000,0.000,21.000,16.607,0.791,0.701,15.036,0.716,0.659,27.000,1.286,1.613,37.571,1.789,4.704,9.286,0.442,0.645,7.000,3.266,5.536,2.422,0.906,0.384,5.012,2.774,0.768,0.277,9.000,6.770,1.218,0.439,12.524,1.133,2.265,1.042,3.095,1.352,0.483,0.140,4.200,1.166,3.321,0.840,0.825,0.197,3.007,1.020,0.720,0.131,5.400,1.753,1.292,0.337,7.514,5.492,1.869,1.122,1.857,0.893,0.483,0.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,3.000,0.000,F
6.000,0.167,0.000,0.000,23.000,22.714,0.988,1.748,15.357,0.668,1.009,26.429,1.149,2.232,20.571,0.894,3.031,13.179,0.573,1.416,7.667,4.784,7.571,5.078,1.130,0.316,5.119,3.583,0.906,0.458,8.810,5.137,2.292,1.943,6.857,2.021,1.840,1.529,4.393,2.031,1.001,0.710,3.833,0.687,3.786,1.864,0.991,0.448,2.560,1.187,0.650,0.267,4.405,3.852,1.112,0.951,3.429,2.457,0.937,0.676,2.196,2.132,0.569,0.520,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,0.000,A
6.000,0.167,1.000,0.000,23.000,28.286,1.230,1.060,22.714,0.988,0.966,29.000,1.261,0.943,17.857,0.776,2.179,11.500,0.500,0.786,7.667,4.190,9.429,8.006,1.245,0.529,7.571,7.282,0.935,0.480,9.667,7.409,1.278,0.437,5.952,3.876,0.944,0.457,3.833,2.593,0.616,0.318,3.833,1.462,4.714,2.476,1.356,0.575,3.786,1.994,1.132,0.568,4.833,2.289,1.266,0.288,2.976,2.513,1.374,1.990,1.917,1.963,0.428,0.407,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,3.000,0.000,A
6.000,0.167,0.000,0.000,26.000,37.786,1.453,1.824,32.357,1.245,1.162,32.143,1.236,1.755,60.286,2.319,3.944,15.643,0.602,0.760,8.667,5.793,12.595,10.686,1.262,0.370,10.786,10.381,0.951,0.512,10.714,11.354,0.778,0.734,20.095,16.259,2.149,0.452,5.214,5.309,0.383,0.344,4.333,0.943,6.298,1.492,1.493,0.320,5.393,2.483,1.204,0.436,5.357,4.331,1.170,0.857,10.048,6.131,2.248,1.098,2.607,1.310,0.606,0.339,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,A
6.000,0.167,0.000,0.000,24.000,32.964,1.374,0.772,34.036,1.418,0.751,24.357,1.015,1.085,17.071,0.711,1.484,5.429,0.226,0.624,8.000,3.559,10.988,5.241,1.588,0.646,11.345,5.746,1.620,0.652,8.119,4.666,1.079,0.359,5.690,1.703,1.093,0.885,1.810,0.943,0.328,0.253,4.000,0.577,5.494,2.280,1.333,0.369,5.673,2.119,1.392,0.342,4.060,2.190,0.964,0.430,2.845,3.493,0.675,0.846,0.905,1.404,0.219,0.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.000,5.000,2.000,F
5.000,0.200,0.000,0.000,21.000,36.000,1.714,1.214,21.857,1.041,0.690,31.714,1.510,1.755,48.429,2.306,5.049,11.000,0.524,0.816,7.000,3.559,12.000,5.657,2.341,1.309,7.286,4.126,1.176,0.408,10.571,5.152,2.057,1.150,16.143,9.744,2.251,0.613,3.667,2.572,0.526,0.208,4.200,0.400,7.200,1.638,1.723,0.414,4.371,0.831,1.041,0.184,6.343,3.270,1.549,0.850,9.686,10.972,2.121,2.199,2.200,1.444,0.537,0.370,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,A
3.000,0.000,0.000,1.000,18.000,30.714,1.706,0.833,30.143,1.675,0.687,31.714,1.762,0.737,108.000,6.000,8.702,13.857,0.770,0.687,3.000,0.000,5.119,1.946,1.706,0.649,5.024,1.965,1.675,0.655,5.286,2.054,1.762,0.685,18.000,12.583,6.000,4.194,2.310,1.135,0.770,0.378,6.000,0.000,10.238,1.896,1.706,0.316,10.048,1.406,1.675,0.234,10.571,2.359,1.762,0.393,36.000,32.831,6.000,5.472,4.619,2.756,0.770,0.459,348.000,258.000,0.741,17057.000,49.014,37.968,69.600,22.321,53.400,14.165,0.789,0.102,3411.400,991.996,87.000,124.167,64.500,4.000,4.000,0.000,F
3.000,0.000,0.000,1.000,13.000,33.429,2.571,1.496,21.429,1.648,1.264,12.957,0.997,0.887,36.286,2.791,1.940,9.100,0.700,0.564,2.167,0.687,5.571,2.856,2.349,0.924,3.571,1.943,1.488,0.524,2.160,1.202,0.968,0.333,6.048,3.769,2.603,1.357,1.517,1.205,0.592,0.414,4.333,1.700,11.143,3.591,3.146,1.536,7.143,3.909,2.102,1.281,4.319,4.029,0.953,0.747,12.095,4.200,3.427,1.917,3.033,1.391,0.794,0.327,107.000,85.000,0.794,4305.000,40.234,46.010,17.833,13.334,14.333,10.827,0.872,0.144,717.500,675.873,21.400,10.613,17.200,5.000,2.000,3.000,A
3.000,0.000,0.000,1.000,17.000,90.857,5.345,2.298,73.857,4.345,2.140,46.000,2.706,1.434,48.929,2.878,2.858,45.357,2.668,2.267,2.833,0.687,15.143,7.014,5.478,2.313,12.310,6.347,4.534,2.186,7.667,2.809,2.750,0.804,8.155,7.337,2.975,2.417,7.560,4.604,2.652,1.458,5.667,0.471,30.286,1.742,5.411,0.802,24.619,3.074,4.330,0.220,15.333,4.581,2.760,0.937,16.310,5.263,2.883,0.862,15.119,9.381,2.658,1.536,104.000,85.000,0.817,8209.000,78.933,113.169,17.333,11.070,14.833,9.957,0.842,0.162,1368.167,776.480,17.333,9.232,14.833,4.000,4.000,0.000,A
3.000,0.333,0.000,1.000,16.000,86.000,5.375,8.652,46.143,2.884,3.381,36.571,2.286,2.077,83.714,5.232,9.219,36.857,2.304,3.551,2.667,0.943,14.333,13.573,4.486,3.200,7.690,7.208,2.536,1.637,6.095,3.244,2.115,0.619,13.952,13.322,4.581,3.412,6.143,6.627,1.909,1.536,5.333,1.247,28.667,26.674,6.697,7.006,15.381,8.723,3.359,2.531,12.190,3.908,2.580,1.306,27.905,29.278,6.575,7.599,12.286,9.166,2.792,2.493,38.000,23.000,0.605,1724.000,45.368,51.458,6.333,2.925,4.667,1.886,0.793,0.188,287.333,347.838,6.333,2.809,4.000,5.000,3.000,2.000,F
6.000,0.167,0.000,0.000,23.000,47.643,2.071,2.807,40.929,1.780,2.224,37.143,1.615,1.793,93.571,4.068,9.548,32.429,1.410,3.808,5.750,0.433,11.911,2.565,2.076,0.419,10.232,3.794,1.774,0.608,9.286,4.129,1.567,0.656,23.393,20.739,4.132,3.531,8.107,4.297,1.418,0.724,3.833,0.373,7.940,3.555,2.032,0.833,6.821,3.008,1.734,0.708,6.190,3.743,1.649,0.991,15.595,9.952,3.913,2.468,5.405,6.472,1.379,1.605,118.000,66.000,0.559,3236.000,27.424,28.553,29.500,40.801,17.000,24.870,0.533,0.227,809.000,1268.356,23.600,17.258,13.800,1.000,1.000,0.000,F
5.000,0.200,1.000,0.000,20.000,50.143,2.507,3.953,25.857,1.293,0.740,17.571,0.879,0.640,71.857,3.593,5.019,43.000,2.150,4.173,5.000,0.000,12.536,9.689,2.507,1.938,6.464,2.350,1.293,0.470,4.393,1.476,0.879,0.295,17.964,22.092,3.593,4.418,10.750,9.557,2.150,1.911,4.000,0.000,10.029,8.075,2.507,2.019,5.171,1.247,1.293,0.312,3.514,0.959,0.879,0.240,14.371,4.213,3.593,1.053,8.600,9.133,2.150,2.283,100.000,85.000,0.850,7851.000,78.510,75.089,25.000,17.819,21.250,12.275,0.924,0.107,1962.750,1864.703,20.000,10.640,17.200,2.000,2.000,0.000,A
5.000,0.200,0.000,0.000,20.000,43.571,2.179,1.091,36.286,1.814,1.072,37.429,1.871,2.447,91.286,4.564,4.801,21.714,1.086,0.800,5.000,0.000,10.893,4.317,2.179,0.863,9.071,4.172,1.814,0.834,9.357,4.391,1.871,0.878,22.821,20.212,4.564,4.042,5.429,2.301,1.086,0.460,4.000,0.000,8.714,2.335,2.179,0.584,7.257,2.230,1.814,0.558,7.486,4.556,1.871,1.139,18.257,7.688,4.564,1.922,4.343,1.247,1.086,0.312,143.000,62.000,0.434,10388.000,72.643,116.130,35.750,24.672,16.000,5.196,0.627,0.266,2597.000,1431.413,28.600,16.280,12.800,2.000,2.000,0.000,A
5.000,0.400,0.000,0.000,20.000,40.143,2.007,0.942,26.857,1.343,0.963,13.857,0.693,1.049,72.143,3.607,3.051,18.286,0.914,1.236,5.000,0.000,10.036,4.773,2.007,0.955,6.714,3.385,1.343,0.677,3.464,1.303,0.693,0.261,18.036,9.827,3.607,1.965,4.571,2.688,0.914,0.538,4.000,0.000,8.029,1.657,2.007,0.414,5.371,2.040,1.343,0.510,2.771,2.450,0.693,0.613,14.429,6.454,3.607,1.614,3.657,3.039,0.914,0.760,40.000,39.000,0.975,2071.000,51.775,39.547,13.333,6.182,13.000,6.377,0.967,0.047,690.333,187.439,10.000,7.583,9.750,1.000,1.000,0.000,A
5.000,0.200,0.000,0.000,20.000,44.000,2.200,1.987,33.857,1.693,1.345,36.571,1.829,2.371,65.543,3.277,4.908,9.429,0.471,0.960,5.000,0.707,11.000,5.833,2.090,0.852,8.464,4.499,1.607,0.679,9.143,4.837,1.731,0.878,16.386,15.957,3.026,2.556,2.357,2.700,0.427,0.435,4.000,0.632,8.800,4.602,2.179,1.093,6.771,2.537,1.705,0.616,7.314,5.037,1.861,1.267,13.109,10.662,3.161,2.659,1.886,1.911,0.471,0.478,222.000,185.000,0.833,6309.000,28.419,18.616,55.500,53.900,46.500,42.193,0.924,0.089,1577.250,1450.782,44.400,39.139,37.200,3.000,3.000,0.000,A
5.000,0.200,0.000,0.000,20.000,47.357,2.368,1.274,37.929,1.896,1.373,18.929,0.946,0.798,48.143,2.407,2.937,18.071,0.904,0.748,5.000,0.000,11.839,7.519,2.368,1.504,9.482,7.562,1.896,1.512,4.732,2.276,0.946,0.455,12.036,11.811,2.407,2.362,4.518,2.476,0.904,0.495,4.000,0.000,9.471,2.237,2.368,0.559,7.586,1.479,1.896,0.370,3.786,1.498,0.946,0.375,9.629,4.120,2.407,1.030,3.614,1.152,0.904,0.288,164.000,151.000,0.921,11589.000,70.665,63.510,41.000,9.083,38.250,6.796,0.942,0.057,2897.250,185.482,32.800,13.775,30.600,1.000,1.000,0.000,A
5.000,0.000,0.000,0.000,20.000,38.286,1.914,1.410,27.964,1.398,1.192,23.571,1.179,1.406,59.071,2.954,3.823,33.107,1.655,2.042,5.000,0.000,9.571,5.713,1.914,1.143,6.991,4.057,1.398,0.811,5.893,4.526,1.179,0.905,14.768,6.855,2.954,1.371,8.277,4.858,1.655,0.972,4.000,0.000,7.657,2.567,1.914,0.642,5.593,2.907,1.398,0.727,4.714,3.185,1.179,0.796,11.814,10.069,2.954,2.517,6.621,5.332,1.655,1.333,58.000,57.000,0.983,3703.000,63.845,52.301,19.333,21.685,19.000,21.213,0.993,0.009,1234.333,1384.587,14.500,12.619,14.250,1.000,1.000,0.000,A
5.000,0.200,0.000,0.000,20.000,33.143,1.657,1.052,34.929,1.746,1.036,28.929,1.446,2.250,67.857,3.393,5.542,24.857,1.243,1.279,5.000,0.000,8.286,3.471,1.657,0.694,8.732,3.742,1.746,0.748,7.232,2.134,1.446,0.427,16.964,7.076,3.393,1.415,6.214,2.937,1.243,0.587,4.000,0.000,6.629,2.376,1.657,0.594,6.986,2.297,1.746,0.574,5.786,3.698,1.446,0.925,13.571,10.855,3.393,2.714,4.971,3.086,1.243,0.771,121.000,71.000,0.587,3996.000,33.025,29.117,30.250,29.252,17.750,15.287,0.800,0.222,999.000,888.329,24.200,20.576,14.200,2.000,2.000,0.000,A
5.000,0.200,1.000,0.000,19.000,51.429,2.707,3.278,29.714,1.564,2.745,27.857,1.466,2.269,123.143,6.481,8.650,18.857,0.992,1.134,4.750,0.433,12.857,6.439,2.784,1.465,7.429,4.595,1.673,1.232,6.964,2.902,1.518,0.732,30.786,17.280,6.732,4.054,4.714,2.412,1.043,0.628,3.800,0.400,10.286,9.763,2.648,2.401,5.943,6.187,1.502,1.534,5.571,4.296,1.462,1.060,24.629,22.126,6.398,5.441,3.771,1.916,0.986,0.459,52.000,27.000,0.519,1445.000,27.789,32.184,26.000,18.000,14.000,13.000,0.369,0.244,722.500,722.500,52.000,0.000,27.000,1.000,1.000,0.000,A
6.000,0.167,0.000,0.000,19.000,47.357,2.492,1.836,41.214,2.169,1.746,26.429,1.391,0.912,85.571,4.504,4.520,19.143,1.008,0.993,4.750,0.829,11.839,3.025,2.654,0.963,10.304,2.903,2.325,0.905,6.607,2.331,1.498,0.637,21.393,11.753,4.605,2.483,4.786,1.493,1.049,0.351,3.800,0.400,9.471,4.793,2.406,1.142,8.243,4.261,2.115,1.006,5.286,2.163,1.360,0.491,17.114,8.121,4.333,1.938,3.829,2.167,1.017,0.548,154.000,96.000,0.623,12580.000,81.688,134.585,38.500,23.005,24.000,5.431,0.797,0.296,3145.000,707.017,30.800,32.517,19.200,1.000,1.000,0.000,A
6.000,0.167,0.000,0.000,21.000,52.571,2.503,1.816,54.429,2.592,1.911,18.143,0.864,1.516,49.857,2.374,2.021,30.214,1.439,1.514,5.250,1.090,13.143,4.082,2.637,1.117,13.607,4.376,2.715,1.079,4.536,3.174,0.802,0.379,12.464,4.819,2.550,1.261,7.554,2.383,1.531,0.646,3.500,1.258,8.762,4.946,2.345,0.919,9.071,5.462,2.306,1.062,3.024,2.206,0.834,0.469,8.310,4.640,2.131,0.841,5.036,3.500,1.296,0.763,167.000,120.000,0.719,8259.000,49.455,53.611,41.750,24.994,30.250,19.537,0.832,0.280,2064.750,1433.893,33.400,20.422,24.400,1.000,1.000,0.000,A
6.000,0.167,0.000,0.000,23.000,57.500,2.500,1.246,50.071,2.177,1.029,24.357,1.059,1.485,103.929,4.519,4.484,24.643,1.071,1.241,5.750,0.433,14.375,6.904,2.554,1.282,12.518,5.674,2.220,1.050,6.089,2.335,1.069,0.409,25.982,18.789,4.739,3.666,6.161,3.491,1.114,0.699,3.833,0.373,9.583,2.189,2.509,0.531,8.345,2.521,2.186,0.622,4.060,3.278,1.029,0.807,17.321,8.505,4.481,2.036,4.107,3.465,1.082,0.873,208.000,196.000,0.942,16028.000,77.058,46.671,52.000,20.591,49.000,21.190,0.931,0.040,4007.000,2416.055,41.600,43.839,39.200,1.000,1.000,0.000,A
6.000,0.000,0.000,0.000,22.000,71.857,3.266,1.309,48.643,2.211,1.499,45.643,2.075,1.371,58.571,2.662,2.978,25.429,1.156,1.361,5.500,0.500,17.964,7.213,3.233,1.254,12.161,4.361,2.215,0.842,11.411,4.652,2.047,0.814,14.643,8.163,2.727,1.663,6.357,2.280,1.174,0.487,3.667,0.471,11.976,2.368,3.282,0.620,8.107,2.086,2.211,0.506,7.607,3.053,2.033,0.689,9.762,4.760,2.609,1.084,4.238,2.453,1.115,0.567,101.000,79.000,0.782,4161.000,41.198,53.572,25.250,18.267,20.000,17.073,0.832,0.198,1040.250,790.595,16.833,11.112,13.167,1.000,1.000,0.000,A
6.000,0.333,0.000,0.000,23.000,44.643,1.941,0.729,33.643,1.463,0.681,27.714,1.205,1.474,45.643,1.984,2.708,13.643,0.593,0.869,5.750,0.829,11.161,5.003,1.974,0.987,8.411,3.470,1.475,0.648,6.929,4.152,1.236,0.855,11.411,6.134,2.102,1.224,3.411,2.945,0.645,0.612,3.833,0.373,7.440,1.260,1.987,0.537,5.607,0.723,1.463,0.124,4.619,2.595,1.216,0.659,7.607,4.464,1.967,1.083,2.274,1.561,0.620,0.450,77.000,66.000,0.857,5097.000,66.195,63.811,19.250,17.340,16.500,14.098,0.924,0.078,1274.250,1546.414,38.500,15.500,33.000,2.000,2.000,0.000,F
7.000,0.000,0.000,0.000,28.000,73.214,2.615,0.773,64.500,2.304,0.472,17.429,0.622,0.806,115.429,4.122,4.386,21.571,0.770,1.146,7.000,0.000,18.304,7.243,2.615,1.035,16.125,6.571,2.304,0.939,4.357,1.234,0.622,0.176,28.857,15.838,4.122,2.263,5.393,2.625,0.770,0.375,4.000,0.000,10.459,1.121,2.615,0.280,9.214,0.787,2.304,0.197,2.490,1.463,0.622,0.366,16.490,8.732,4.122,2.183,3.082,3.105,0.770,0.776,181.000,171.000,0.945,12802.000,70.729,82.463,45.250,17.152,43.000,14.883,0.964,0.049,3200.500,840.954,25.857,19.910,24.429,1.000,1.000,0.000,A
